92	423	421	424
115	421	423	424
94	421	92	423
91	423	424	425
115	424	423	425
380	120	382	422
92	91	423	424
421	423	94	426
91	424	422	425
94	92	91	423
120	382	422	425
114	422	424	425
93	422	91	424
371	422	382	425
114	424	115	425
387	421	112	424
377	112	387	421
361	389	64	424
371	380	382	422
361	64	421	424
115	113	421	424
360	371	382	425
98	422	371	425
93	91	92	424
109	387	112	424
98	371	67	425
115	423	421	426
387	361	421	424
67	371	360	425
63	362	422	424
387	389	361	424
368	361	65	421
377	387	361	421
377	119	112	421
63	388	362	424
362	369	62	422
120	111	382	425
118	373	366	425
120	422	111	425
119	374	379	421
115	114	113	424
119	379	108	421
69	367	359	426
110	373	118	425
361	64	65	421
374	119	377	421
98	364	371	422
62	63	362	422
108	115	421	426
113	112	119	421
359	69	54	367
377	361	368	421
96	421	94	426
117	422	376	424
362	369	60	62
376	369	362	422
63	422	93	424
109	386	49	424
365	97	372	423
389	49	95	424
386	362	388	424
96	370	363	426
111	422	114	425
365	372	373	423
380	107	120	422
388	95	49	424
373	423	372	425
371	364	380	422
120	107	111	422
108	115	113	421
69	359	68	426
379	108	421	426
64	389	95	424
368	51	65	361
383	116	108	426
96	363	421	426
373	372	366	425
372	423	97	425
69	359	54	68
379	421	363	426
63	95	388	424
376	107	375	422
117	376	386	424
379	383	108	426
117	386	109	424
64	92	421	424
67	360	384	425
360	384	57	67
60	63	362	62
373	110	423	425
375	107	380	422
66	372	97	425
363	379	374	421
379	363	370	426
111	107	114	422
109	0	49	386
69	423	367	426
383	381	116	426
3	96	370	363
96	92	94	421
365	4	372	97
371	98	5	364
62	93	63	422
361	51	65	64
110	378	373	423
387	109	49	424
115	111	114	425
96	363	65	421
359	367	381	426
119	108	113	421
363	368	65	421
374	377	368	421
108	116	115	426
64	95	92	424
63	93	95	424
363	374	368	421
389	387	49	424
0	109	117	386
116	423	115	426
384	57	67	66
384	66	67	425
91	422	98	425
107	376	117	422
69	68	94	426
108	383	18	116
384	372	66	425
93	98	91	422
377	119	20	112
13	382	120	111
375	376	11	107
110	115	423	425
369	376	375	422
98	62	364	422
364	375	380	422
69	94	423	426
65	64	92	421
94	91	97	423
388	49	386	424
385	382	111	425
367	423	381	426
385	360	382	425
384	366	372	425
369	364	62	422
68	370	96	426
97	365	69	423
381	423	116	426
366	118	15	373
110	116	378	423
374	119	20	377
373	378	365	423
