1455,1660,1921,-1
30,46,1504,-1
1889,2214,2360,-1
740,1453,1896,2214
146,1109,1206,2905
705,1037,1730,2191
1889,2333,2359,2363
70,117,939,1381
108,118,2714,-1
308,2612,2792,2822
793,1243,1703,2263
608,1752,2532,-1
496,498,507,1185
582,1055,1267,-1
223,501,1420,-1
387,417,2256,-1
224,956,1392,2303
19,1369,2315,-1
900,1803,2663,2664
17,1336,2702,-1
24,780,1450,-1
518,868,1762,-1
257,550,1226,-1
652,881,1209,-1
20,30,2710,-1
34,1330,2733,2906
1099,2006,2072,-1
30,46,2210,-1
32,533,2394,-1
792,2489,2722,-1
1,24,27,2711
41,842,1640,-1
28,1049,1287,1719
919,1129,1619,-1
25,84,1095,2904
1158,2172,2480,-1
793,1014,1371,2631
1199,1356,1361,-1
84,1272,1278,2738
231,2011,2180,-1
231,1366,1599,-1
31,1355,1637,2395
46,351,2377,-1
1235,1786,2501,-1
566,1385,1950,-1
717,798,2283,2285
1,27,42,2376
940,1103,1788,-1
74,465,992,2253
433,976,2637,-1
113,786,1105,-1
58,258,611,-1
775,1809,2563,-1
257,635,2332,-1
433,653,1579,-1
725,837,851,1437
416,1669,1882,2954
268,1236,1324,1326
51,648,711,-1
417,1238,1380,2122
389,391,1502,-1
511,2372,2599,-1
609,648,2496,-1
580,827,1505,-1
342,812,1194,1509
755,1285,2384,2652
224,1392,1797,-1
1121,1632,1983,2298
585,1797,2535,-1
1122,1748,2054,-1
7,187,258,-1
385,598,621,-1
482,1038,2789,-1
75,349,466,-1
48,664,701,2704
73,309,720,1846
246,1470,2385,-1
942,1544,1575,-1
339,978,1981,-1
1147,1410,1689,-1
422,996,2004,-1
924,1642,2283,-1
215,612,1921,-1
1294,1394,1843,-1
34,38,2920,-1
109,2392,2641,-1
449,1257,1735,1763
470,577,2165,-1
89,1658,2564,-1
88,115,122,-1
945,1338,2799,-1
938,2234,2688,-1
734,2406,2760,-1
98,514,1178,-1
2280,2281,2368,-1
754,795,2563,-1
1430,1948,1984,-1
1009,1077,1115,-1
93,149,613,1907
107,1389,1391,1870
362,1274,1873,2392
147,158,1242,-1
152,736,1012,-1
108,573,1597,-1
922,2079,2348,-1
563,564,1025,1925
1413,1695,2215,2640
99,675,956,-1
8,103,1497,2717
85,1342,2656,-1
926,1141,2123,2207
192,259,475,641
264,507,1901,2324
50,727,1220,-1
1182,1185,2199,-1
89,1456,2226,2321
893,1128,1820,2836
7,381,2312,2345
8,2341,2716,-1
431,1385,1563,2355
1452,2321,2780,-1
123,1118,2332,-1
89,1827,2232,2284
121,1489,1920,2776
1357,1446,2768,-1
1019,1072,1701,1949
133,197,1177,2037
1090,1495,1934,-1
1791,1872,2456,-1
2707,2782,2830,-1
1157,1351,2255,-1
372,564,1417,-1
325,1233,2164,-1
126,293,459,1057
145,953,1196,-1
216,2406,2623,-1
772,804,2697,-1
146,541,1702,-1
1118,1563,1818,1920
335,2182,2562,-1
489,1985,2444,-1
739,759,2224,2672
735,751,1222,1676
931,1240,2256,-1
1012,1091,1984,-1
134,935,2222,-1
4,137,176,-1
101,501,2304,-1
236,261,1465,-1
98,1250,1353,-1
1947,2151,2265,-1
158,160,2521,-1
102,156,158,-1
1858,2371,2598,-1
399,1197,2063,-1
190,406,989,1777
152,160,2486,-1
382,1537,1760,-1
101,151,152,1538
214,2276,2282,-1
151,156,1357,2770
1101,1224,1348,2397
1107,1128,1192,-1
1719,1999,2003,-1
535,797,1017,2781
166,2805,2873,-1
165,1266,1270,-1
338,674,1512,1789
723,995,2933,-1
204,440,1561,2292
528,777,1891,1945
256,2085,2934,2949
175,1639,1720,2668
292,448,1903,-1
821,1287,1719,2012
172,186,2635,-1
146,656,1224,-1
718,851,1417,-1
222,1484,2294,2806
990,1806,2581,2831
389,871,1552,-1
286,370,2812,-1
625,1916,2508,-1
1212,2124,2817,-1
691,2249,2587,-1
191,774,2854,2897
175,583,1082,1639
70,711,2338,-1
257,271,635,-1
822,1229,2719,-1
155,276,2264,-1
185,256,2925,2934
111,1115,2391,-1
198,796,2347,-1
713,747,755,-1
704,865,994,2490
703,1189,1852,2550
126,873,1839,-1
193,492,1566,2258
243,509,1644,-1
321,640,667,1681
254,1215,2918,2961
429,674,1789,-1
995,1330,2734,2833
169,545,1349,1482
333,881,1862,-1
1179,1387,2026,2048
212,220,781,-1
216,1718,2176,2740
965,2419,2544,-1
248,897,1379,1706
453,1208,2287,2560
207,1024,1365,2150
310,952,2077,2810
159,1170,1171,2031
82,1550,1928,-1
135,208,2399,-1
1392,1982,2536,-1
220,1409,2420,-1
906,1439,2141,-1
207,218,1365,1775
282,2259,2908,-1
178,1317,2805,-1
14,1242,2386,-1
16,66,724,1604
234,986,2823,-1
1205,1488,2075,2928
1195,1742,2834,-1
461,1018,1080,-1
386,973,1617,-1
524,2125,2240,-1
39,40,1290,1613
367,551,676,2123
2370,2421,2597,-1
225,676,1114,2926
266,1084,1955,2410
148,1377,1824,-1
307,374,2308,2726
384,1343,1390,2345
425,1625,1930,2609
340,445,1021,1802
1305,1523,1691,-1
318,980,2408,-1
199,1218,2274,2446
371,376,810,-1
417,1585,2211,-1
76,1826,2381,-1
484,907,2825,-1
210,1280,1575,-1
1297,2090,2362,-1
379,1176,2726,2808
640,1209,1686,-1
1041,1460,2594,-1
378,1367,2562,-1
201,1405,1562,1736
369,1165,1367,-1
171,191,298,1723
22,53,188,1952
51,70,2056,-1
111,1115,1629,-1
472,2376,2683,-1
148,1500,2333,2334
266,1650,2682,-1
529,557,1608,-1
112,498,2041,-1
570,1000,2474,-1
235,262,1080,-1
927,1591,1914,-1
57,278,1138,1227
824,1255,1860,2785
994,1314,1316,2720
188,1576,1675,-1
327,486,1557,1649
1447,1451,2458,-1
1209,1686,1706,-1
2103,2838,2946,-1
190,1299,2201,-1
281,1481,2935,-1
268,669,1713,2874
480,1996,2440,2818
1038,1128,1716,-1
277,1511,2297,-1
221,437,484,907
662,2046,2896,-1
