1,2,6,85
0,4,20,26
0,7,9,99
4,6,8,158
1,3,14,130
10,18,64,187
0,3,9,23
2,26,52,134
3,11,12,121
2,6,136,-1
5,13,36,38
8,14,62,155
8,23,56,126
10,18,21,22
4,11,40,106
16,24,27,242
15,32,33,217
19,30,72,234
5,13,67,-1
17,27,44,85
1,40,69,242
13,28,140,-1
13,25,46,121
6,12,162,-1
15,105,193,241
22,28,163,170
1,7,48,118
15,19,30,32
21,25,86,198
34,47,56,245
17,27,116,-1
44,51,73,110
16,27,51,-1
16,45,49,127
29,60,80,237
47,54,55,142
10,38,128,138
43,76,146,153
10,36,62,68
41,45,92,177
14,20,172,706
39,71,109,179
50,70,96,108
37,89,157,180
19,31,103,135
33,39,111,148
22,67,101,132
29,35,88,102
26,69,71,112
33,109,242,1003
42,78,231,-1
31,32,111,-1
7,75,99,215
82,122,155,245
35,88,226,-1
35,131,245,-1
12,29,102,114
84,95,105,137
63,77,100,144
65,72,116,247
34,137,246,-1
75,93,98,143
11,38,94,106
58,66,149,-1
5,68,90,243
59,80,137,248
63,76,77,89
18,46,133,-1
38,64,94,915
20,48,109,1204
42,78,123,185
41,48,79,83
17,59,113,171
31,103,229,-1
83,97,112,124
52,61,79,107
37,66,141,-1
58,66,91,158
50,70,224,-1
71,75,92,93
34,65,114,165
90,122,129,131
53,84,238,246
71,74,154,184
57,82,117,216
0,19,113,135
28,87,120,176
86,119,236,-1
47,54,227,-1
43,66,104,130
64,81,133,244
77,125,173,203
39,79,115,-1
61,79,184,-1
62,68,178,1048
57,117,156,-1
42,134,139,160
74,145,150,190
61,159,168,-1
2,52,197,-1
58,161,173,-1
46,166,170,-1
47,56,196,-1
44,73,232,-1
89,147,149,152
24,57,116,156
14,62,167,907
75,110,168,197
42,139,190,-1
41,49,69,1300
31,107,115,195
45,51,115,-1
48,74,118,935
72,85,162,-1
56,80,162,-1
92,110,111,-1
30,59,105,-1
84,95,209,1220
26,112,145,192
87,120,240,-1
86,119,125,183
8,22,126,163
53,81,178,182
70,134,215,-1
74,150,154,1264
91,120,141,213
12,121,196,-1
33,148,239,1071
36,169,187,1280
81,182,201,-1
4,89,167,192
55,81,151,-1
46,142,166,196
67,90,151,-1
7,96,123,211
44,85,197,-1
9,158,211,-1
57,60,65,-1
36,140,169,175
96,108,145,174
21,138,176,-1
76,125,204,-1
35,132,151,191
61,159,185,215
58,160,161,211
97,118,139,164
37,157,235,-1
104,164,186,192
45,127,230,-1
63,104,181,-1
97,124,221,-1
131,133,142,-1
104,186,222,-1
37,175,204,207
83,124,219,-1
11,53,178,216
95,105,228,-1
43,146,222,1208
3,77,136,203
98,143,199,-1
96,144,181,194
100,144,202,-1
23,113,114,-1
25,121,183,-1
145,147,174,214
80,218,248,-1
101,132,205,-1
106,130,180,1020
98,107,206,-1
128,138,210,-1
25,101,208,-1
72,220,247,-1
40,216,241,732
91,100,212,-1
139,164,181,-1
138,153,180,189
86,140,204,-1
39,179,230,-1
94,122,155,1283
41,177,219,1013
43,167,175,658
149,160,174,-1
122,129,225,1271
120,163,203,-1
83,93,200,-1
70,143,188,200
147,152,223,1140
5,128,233,-1
185,199,224,-1
175,207,210,1269
97,108,200,-1
142,205,226,-1
118,130,147,1274
24,217,228,1312
160,202,231,-1
110,206,229,-1
102,126,132,-1
99,107,135,-1
28,208,236,-1
159,188,-1,-1
184,185,190,-1
129,244,1338,-1
161,194,-1,-1
91,158,183,-1
141,153,176,-1
166,191,-1,-1
168,195,-1,-1
153,189,235,-1
170,198,-1,-1
117,238,1335,-1
169,189,1339,-1
134,136,144,-1
173,213,-1,-1
125,212,240,-1
164,221,223,-1
52,123,143,-1
84,155,172,1293
16,193,239,-1
165,237,-1,-1
154,179,1318,-1
171,234,-1,-1
150,214,1342,-1
152,157,1337,-1
186,214,1309,-1
78,188,-1,-1
182,238,1344,-1
54,191,-1,-1
88,237,-1,-1
156,193,1343,-1
73,195,-1,-1
148,177,1348,-1
50,194,-1,-1
103,234,-1,-1
187,243,1333,-1
17,220,232,-1
146,207,1331,-1
87,198,-1,-1
34,218,227,-1
82,209,225,-1
127,217,1326,-1
119,213,-1,-1
24,172,242,416
15,20,49,241
64,233,244,1235
90,201,243,-1
29,53,55,246
60,82,245,-1
59,171,248,-1
65,165,247,-1
258,265,516,771
265,316,420,1359
267,607,1353,1356
254,260,315,361
259,271,314,389
252,260,328,515
267,279,390,406
257,270,344,371
256,300,849,992
249,299,426,1239
253,269,290,307
252,254,354,459
281,324,333,532
329,334,1366,1367
264,268,395,575
263,284,1361,1392
249,250,299,1360
277,278,316,491
251,255,429,513
263,447,1035,1362
259,302,731,1383
256,300,396,972
253,273,407,1573
811,1357,1366,1367
271,276,290,1296
275,287,392,576
274,380,521,531
